
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      2,204 K
Registry                       172 Services                   0     22,992 K
smss.exe                       660 Services                   0        408 K
csrss.exe                      724 Services                   0      2,900 K
wininit.exe                   1144 Services                   0      2,776 K
services.exe                  1284 Services                   0      6,280 K
lsass.exe                     1308 Services                   0     17,084 K
svchost.exe                   1424 Services                   0     25,492 K
fontdrvhost.exe               1460 Services                   0        192 K
WUDFHost.exe                  1516 Services                   0      1,556 K
svchost.exe                   1604 Services                   0     19,108 K
svchost.exe                   1648 Services                   0      5,672 K
WUDFHost.exe                  1688 Services                   0      1,176 K
svchost.exe                   1884 Services                   0      2,292 K
svchost.exe                   1892 Services                   0      6,380 K
svchost.exe                   1904 Services                   0      7,044 K
svchost.exe                    744 Services                   0      8,276 K
svchost.exe                   1376 Services                   0      6,388 K
svchost.exe                   1444 Services                   0      5,732 K
svchost.exe                   1280 Services                   0      4,716 K
svchost.exe                   2184 Services                   0      4,236 K
svchost.exe                   2192 Services                   0      2,708 K
svchost.exe                   2200 Services                   0      7,720 K
svchost.exe                   2244 Services                   0      2,144 K
svchost.exe                   2300 Services                   0      3,192 K
svchost.exe                   2440 Services                   0     12,136 K
svchost.exe                   2644 Services                   0      8,692 K
svchost.exe                   2684 Services                   0      3,084 K
NVDisplay.Container.exe       2784 Services                   0     10,984 K
svchost.exe                   2824 Services                   0      5,316 K
svchost.exe                   2872 Services                   0      2,868 K
gxxsvc.exe                    2880 Services                   0     13,260 K
svchost.exe                   3052 Services                   0      4,108 K
svchost.exe                   3060 Services                   0      9,608 K
svchost.exe                   3108 Services                   0      3,796 K
svchost.exe                   3280 Services                   0     16,260 K
amdfendrsr.exe                3288 Services                   0      1,656 K
svchost.exe                   3296 Services                   0      8,812 K
atiesrxx.exe                  3308 Services                   0      1,568 K
svchost.exe                   3600 Services                   0      4,136 K
svchost.exe                   3720 Services                   0      5,936 K
svchost.exe                   3728 Services                   0      1,796 K
svchost.exe                   3736 Services                   0      4,888 K
svchost.exe                   3820 Services                   0      4,588 K
svchost.exe                   3828 Services                   0      3,748 K
Memory Compression            3864 Services                   0    110,248 K
WmiPrvSE.exe                  3956 Services                   0      9,160 K
svchost.exe                   4164 Services                   0     10,596 K
svchost.exe                   4200 Services                   0      3,028 K
svchost.exe                   4292 Services                   0      5,316 K
svchost.exe                   4300 Services                   0      7,480 K
svchost.exe                   4568 Services                   0      9,072 K
svchost.exe                   4612 Services                   0      6,048 K
svchost.exe                   4668 Services                   0     14,716 K
spoolsv.exe                   4704 Services                   0     11,120 K
svchost.exe                   4752 Services                   0     11,016 K
svchost.exe                   4844 Services                   0      2,552 K
svchost.exe                   4944 Services                   0      2,364 K
svchost.exe                   4932 Services                   0      1,492 K
LenovoUtilityService.exe      4228 Services                   0      6,128 K
svchost.exe                   5044 Services                   0     12,244 K
Lenovo.Modern.ImControlle     5036 Services                   0    135,940 K
UDClientService.exe           5124 Services                   0     13,756 K
svchost.exe                   5140 Services                   0      5,220 K
svchost.exe                   5148 Services                   0     13,396 K
svchost.exe                   5156 Services                   0     27,204 K
FoxitPDFReaderUpdateServi     5164 Services                   0      4,220 K
MsMpEng.exe                   5176 Services                   0    162,664 K
svchost.exe                   5184 Services                   0     20,796 K
NahimicService.exe            5192 Services                   0     15,292 K
TeamViewer_Service.exe        5240 Services                   0      5,632 K
RtkAudUService64.exe          5288 Services                   0      6,528 K
svchost.exe                   5452 Services                   0      3,772 K
svchost.exe                   5928 Services                   0      4,380 K
svchost.exe                   6316 Services                   0      3,124 K
svchost.exe                   6388 Services                   0      4,820 K
AggregatorHost.exe            6540 Services                   0      6,100 K
NisSrv.exe                    7292 Services                   0      4,096 K
svchost.exe                   7848 Services                   0     11,688 K
svchost.exe                   7888 Services                   0      3,248 K
svchost.exe                   6948 Services                   0      8,784 K
svchost.exe                   3636 Services                   0     16,172 K
svchost.exe                   8444 Services                   0     14,984 K
svchost.exe                   5776 Services                   0     12,308 K
svchost.exe                  10084 Services                   0      7,808 K
